time,mom_50,mom_250,ema_50,ema_250,rsi_50,rsi_250,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-15,81.96,245.37,1725.5882,1530.1238,53.0375,53.5076,1729.02,1747.62,1711.71,1727.62,1727.62,1572214,0.0,1.0
2021-01-14,106.6,251.4,1725.5053,1528.5375,53.2066,53.5449,1748.87,1767.5499,1726.07,1730.92,1730.92,1460617,0.0,1.0
2021-01-13,131.14,297.09,1725.2843,1526.9119,54.0422,53.7296,1727.32,1756.39,1727.32,1747.25,1747.25,1171590,0.0,1.0
2021-01-12,180.55,298.23,1724.3877,1525.1422,53.6128,53.6338,1745.36,1767.9,1716.375,1737.43,1737.43,1460563,0.0,1.0
2021-01-11,245.49,325.7,1723.8554,1523.437,54.5723,53.8471,1777.02,1784.38,1752.14,1756.29,1756.29,1740618,0.0,1.0
2021-01-08,198.95,357.8,1722.5315,1521.5667,56.7652,54.3209,1777.16,1799.355,1761.22,1797.83,1797.83,1774226,0.0,1.0
2021-01-07,190.05,345.38,1719.4581,1519.3478,55.7805,54.0934,1726.76,1777.82,1726.76,1774.34,1774.34,2096829,0.0,1.0
2021-01-06,89.9,303.09,1717.218,1517.2996,53.5072,53.589,1700.255,1743.965,1696.1014,1722.88,1722.88,2329401,0.0,1.0
2021-01-05,133.39,335.01,1716.9869,1515.6484,54.4221,53.7854,1725.09,1746.83,1716.9,1740.05,1740.05,1017962,0.0,1.0
2021-01-04,140.14,331.02,1716.0456,1513.846,53.7944,53.6483,1760.0,1762.4899,1707.14,1726.13,1726.13,1866195,0.0,1.0
2020-12-31,201.56,354.83,1715.6339,1512.1409,55.2135,53.952,1737.27,1757.5,1736.09,1752.64,1752.64,1053479,0.0,1.0

